Titolo,Piattaforma,Genere,Data di uscita,Produttore,Sviluppatore,Età consigliata,Link
Baldur's Gate 3,PC,Gioco di ruolo,3 agosto 2023,Larian Studios,Larian Studios,18+,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/
Teenage Mutant Ninja Turtles: Shredder's Revenge,PS4,Picchiaduro,16 giugno 2022,DotEmu,Tribute Games,12+,https://store.playstation.com/it-it/product/EP1470-CUSA30992_00-TMNTSRDOTEMUSIEE
Monopoly Plus,PS4,Party Game,3 dicembre 2014,Ubisoft,Asobo Studio,3+,
Dragon Ball: Xenoverse,PS4,Picchiaduro,27 febbraio 2015,Bandai Namco Games,Dimps Corporation,12+,
Dragon Ball Z: Kakarot,PS4,Gioco di ruolo,17 gennaio 2020,BANDAI NAMCO Entertainment,CyberConnect2,12+,https://store.playstation.com/it-it/product/EP0700-CUSA14835_00-DBZKPREORDER0000
Last Day of June,PS4,Avventura,31 agosto 2017,505 Games,Ovosonico,7+,https://store.playstation.com/#!/en-us/games/last-day-of-june/cid=UP4040-CUSA06148_00-OVOSONICO505GCAR
Super Mario Bros.,NES,Platform,15 maggio 1987,,Nintendo,,
Gran Turismo 7,PS4,Gioco di guida,4 marzo 2022,Polyphony Digital,Polyphony Digital,3+,https://store.playstation.com/it-it/product/EP9001-CUSA24767_00-GT7STD0000000PS4
Stray,PS4,Azione/Avventura,19 luglio 2022,Annapurna Interactive,BlueTwelve Studio,12+,https://store.playstation.com/it-it/concept/10001114
Final Fantasy X,PS2,Gioco di ruolo,24 maggio 2002,Square EA,SquareSoft,,
Kid Chameleon,Mega Drive,Platform,1992,,Sega,,
Sonic the Hedgehog 2,Mega Drive,Platform,24 novembre 1992,Sega,Sonic Team,,
Sonic the Hedgehog,Mega Drive,Platform,23 giugno 1991,Sega,Sonic Team,,
God of War,PS4,Azione/Avventura,20 aprile 2018,Sony Interactive Entertainment,SCE Santa Monica,18+,https://store.playstation.com/it-it/product/EP9000-CUSA07410_00-00000000GODOFWAR
Teenage Mutant Ninja Turtles,NES,Platform,17 agosto 1990,,Konami,,
Tekken 7,PS4,Picchiaduro,1 giugno 2017,,Bandai Namco Games,16+,https://store.playstation.com/it-it/product/EP0700-CUSA06014_00-PS4TEKKEN7000001
