Titolo,Piattaforma,Genere,Data di uscita,Produttore,Sviluppatore,Età consigliata,Link
inFAMOUS,PS3,Azione/Avventura,27 maggio 2009,SCEE,Sucker Punch,16+,
inFamous: Second Son,PS4,Azione/Avventura,21 marzo 2014,SCEA,Sucker Punch,16+,
Warframe,PC,Gioco d'azione,25 marzo 2013,,Digital Extremes,18+,https://store.steampowered.com/app/230410/Warframe/
Sega Bass Fishing,PC,Gioco sportivo,19 ottobre 2001,Activision,Sega,,
RIFT,PC,MMORPG,4 marzo 2011,Trion Worlds,Trion Worlds,,
Dungeon of the Endless,PC,Strategia,27 ottobre 2014,Sega,Amplitude Studios,,https://store.steampowered.com/app/249050/Dungeon_of_the_Endless__Crystal_Edition/
Space Interceptor: Project Freedom,PC,Simulazione,14 maggio 2004,Merscom,City Interactive,,
Galactic Grinder,PC,Platform,23 giugno 2023,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/2431330/Galactic_Grinder/
Imperium: Le Grandi Battaglie di Roma,PC,Strategia,10 maggio 2005,FX Interactive,Haemimont Games,12+,
Imperium: Le Guerre Puniche,PC,Strategia,27 novembre 2003,FX Interactive,Haemimont Games,12+,
Divided Skies,PC,Azione/Avventura,21 giugno 2023,Breda University of Applied Sciences,Our Sun,,https://store.steampowered.com/app/2163100/Divided_Skies/
Raw Nerve,PC,Gioco di guida,23 giugno 2023,Odd Weather,Odd Weather,,https://store.steampowered.com/app/2386850/Raw_Nerve/
S.P.L.I.C.E.D.,PC,Platform,20 giugno 2023,Breda University of Applied Sciences,Fishbait Studios,,https://store.steampowered.com/app/2163220/SPLICED/
Snotty's Sewer,PC,Azione/Avventura,22 giugno 2023,Alarming Ladder Studios,Alarming Ladder Studios,,https://store.steampowered.com/app/2435890/Snottys_Sewer/
A Bad Day For A Hangover,PC,Sparatutto in 1a persona,20 giugno 2023,Ballistic Machine,Ballistic Machine,,https://store.steampowered.com/app/2442880/A_Bad_Day_For_A_Hangover/
ASTRA,PC,Party Game,26 febbraio 2021,Personal,Amemi Kinosuke,3+,https://store.steampowered.com/app/1522190/ASTRA/
Quest 4 Papa,PC,Gioco d'azione,3 giugno 2020,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1323410/Quest_4_Papa_Reloaded/
Shadow Racer,PC,Gioco di guida,19 maggio 2022,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1981300/Shadow_Racer/
Mirlo Above the Sun,PC,Azione/Avventura,17 giugno 2021,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1639650/Mirlo_Above_the_Sun/
Project Senko,PC,Picchiaduro,29 giugno 2020,DigiPen Institute of Technology,DigiPen Europe-Bilbao,,https://store.steampowered.com/app/1346310/Project_Senko/
Call of Duty,PC,Sparatutto in 1a persona,7 novembre 2003,Activision,Infinity Ward,16+,
XIII,PC,Sparatutto in 1a persona,20 novembre 2003,Ubisoft,Dargaud,12+,
Commandos: Behind Enemy Lines,PC,Azione strategico,31 luglio 1998,Eidos,Pyro Studios,,
Dark Fall: The Journal,PC,Avventura,21 novembre 2003,The Adventure Company,XXV Productions,,
Mafia: City of Lost Heaven,PC,Azione/Avventura,28 agosto 2002,Take-Two Interactive,Illusion Softworks,,
